Day,Time,Title,Speaker,Theme1,Theme2,Theme3
Saturday,11.45,Wakanda forever: Africa before colonisation,Gary McFarlane,Racism,Imperialism,
Saturday,11.45,Is the welfare state finished?,Kevin Doogan,Socialism,,
Saturday,11.45,Is fascism back in Eastern Europe,Andy Zebrowski & others,Racism,,
Saturday,11.45,Culture: The legacy of Dylan Thomas,Phil Knight,Culture,,
Saturday,14.30,World economy: Is the long depression over?,Michael Roberts,Marx@200,,
Saturday,14.30,Debate: Corbyn-- Labour & the future of British politics,Mark Perryman-- Mark L Thomas,Corbyn,,
Saturday,14.30,Fascism-- the far right and racist populism today,Weyman Bennett,Racism,,
Saturday,14.30,Debate: Catalonia & the crisis in Europe,Eulalia Reguant-- David Karvala & others,,,
Saturday,14.30,Is another education possible?,Alex Kenny & others,,,
Saturday,14.30,Disability-- oppression & resistance,DPAC,Liberation,,
Saturday,14.30,Considering class: theory-- culture and media in the 21st century,,,,
Saturday,14.30,Do British people benefit from the oppression of the Global South,Mani Tanoh,Imperialism,,
Saturday,14.30,Booklaunch: A Rebel's guide to Alexandra Kollontai,Emma Davis,Sexism,,
Saturday,16.15,Marxian ecology vs ecological escapism: the revolutionary necessity of our time,John Bellamy Foster,Climate,,
Saturday,16.15,25 year on from Stephen Lawrence: Police-- racism & the state,Janet Alder,Racism,,
Saturday,16.15,Debate: What would a labour government look like?,Special guests,Corbyn,,
Saturday,16.15,Booklaunch: Politics of the mind: Marxism & mental distress,Iain Ferguson,Liberation,,
Saturday,16.15,The fight for abortion rights,Brid Smith TD-- Judith Orr,Sexism,,
Saturday,16.15,Brazil: Neoliberalism vs democracy,Alfredo Saad-filho-- Rauqel Vargas,,,
Saturday,16.15,Gig work-- the platform economy & class struggle,,Class,,
Saturday,16.15,The lost revolution: 100 years on from the German revolution,Michael Bradley,,,
Saturday,19.00,Marx the revolutionary,Alex Callinicos,Marx@200,,
Saturday,19.00,Palestine & the rhetoric of free speech,Ghada Karmi-- Tom Hickey,Imperialism,,
Saturday,19.00,A rebel's guide to disco,Yuri Prasad & Liz Wheatley,Culture,,
Saturday,19.00,Class-- pride & protest,,Liberation,,
Saturday,19.00,Enoch Powell & rivers of blood: 50 years on,Patrick Vernon-- Shirin Hirsch,Racism,,
Saturday,19.00,Organising the unorganised,McStrike-- Fight for 15,Class,,
Saturday,19.00,Film screening: Calais children: A Case to answer Q & A,Sue Clayton,Racism,,
Saturday,19.00,Fashion & Capitalism,Tony Sullivan,,,
Saturday,20.30,The Young Karl Marx film screening,,Culture,,
Saturday,20.30,Rebel's Guide to Disco,DJ Liz Wheatley,Culture,,
Sunday,10.00,Who is to blame for the horror in Syria?,Ghayath Naisse,Imperialism,,
Sunday,10.00,Do privilege theory & intersectionality help fight oppression?,Sue Caldwell,Sexism,racism,
Sunday,10.00,How do we learn? Pedagogy & education today,Jess Edwards,,,
Sunday,10.00,Scotland-- independence & the Left,,,,
Sunday,10.00,Malcolm X & the fight against racism,Nike Johnson,Racism,,
Sunday,10.00,1968: The Prague Spring,Tomas Tengely-Evans,,,
Sunday,10.00,Capitalism & extinction,Sarah Ensor-- Ian Rappel,Climate,,
Sunday,11.45,Gramsci & the art of politics,Alex Callinicos,,,
Sunday,11.45,Building in the unions & workplace,Mark L Thomas,Class,,
Sunday,11.45,Islamophobia & the hijab,Naima Omar-- Siema Iqbal,Racism,,
Sunday,11.45,Are we heading for a new Cold War?,Judith Orr,Imperialism,,
Sunday,11.45,Should all the statues fall?,Brian Richardson,Racism,Imperialism,
Sunday,11.45,Workshop: Is human nature a barrier to socialism?,Fran Manning,Socialism,,
Sunday,11.45,Booklaunch: Russian revolution trilogy,Alan Gibbons,,,
Sunday,11.45,Workshop: What is the dialectic?,Richard Donnelly,Marx@200,,
Sunday,14.00,Palestine in the era of Trump,Ilan Pappé,Imperialism,Trump,
Sunday,14.00,Resisting the far right & fascism in Europe,Christine Buchholz-- David Albrich & more,Racism,,
Sunday,14.00,#MeToo: fighting sexism & the system,Amy Leather,Sexism,,
Sunday,14.00,Universities-- neoliberalism & resistance,Nita Sanghera,,,
Sunday,14.00,Dirty energy & capitalism,Tina Louise Rothery-- Suzanne Jeffrey,Climate,,
Sunday,14.00,NHS @ 70: How can we fight to defend it?,,,,
Sunday,14.00,Music-- racism-- identity,Dave Randall,Culture,,
Sunday,14.00,From African Marxism to neoliberalism,Mani Tanoh,,,
Sunday,14.00,Workshop: Marx & Alienation,Naima Omar,Marx@200,,
Sunday,15.45,After Windrush: what does it mean to be British?,,Racism,,
Sunday,15.45,Corbyn-- antisemitism & justice for Palestine,Naomi Wimbourne-Idrissi-- Rob Ferguson,Corbyn,Imperialism,
Sunday,15.45,The experience of Left reformism in Europe,Panos Garganos,,,
Sunday,15.45,Trump's America,John Bellamy Foster & others,Trump,,
Sunday,15.45,Islamophobia and child abuse: challenging the myths,Bea Kay,Racism,,
Sunday,15.45,Social reproduction theory: capital & women's oppression,Sheila McGregor,Sexism,,
Sunday,15.45,Marxism and the fight for national liberation,Hector Sierra,,,
Sunday,15.45,Workshop: Marxism & history,Josh Hollands,Marx@200,,
Sunday,17.30,Marxism 2018 closing rally,,,,
Sunday,18.30,Marxism 2018 Afterparty,,Culture,,
